actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"Shahar Isaac,Jonathan Roumie,Shahar Isaac",Depuis 2017, U.S.A.,Un pêcheur charismatique qui croule sous les dettes. Une femme hantée par ses démons. Un jeune collecteur d'impôts mis au ban de la société. Un chef religieux qui remet en question les traditions de sa foi. Découvrez Jésus à travers les yeux de ceux qui l'ont connu.,"Drame,Historique",,,33,4,4.3,5.0,Dallas Jenkins,En cours,50 min,The Chosen,
"Makoto Furukawa,Kaito Ishikawa,Yûki Kaji",Depuis 2015, Japon,"Histoire de passer le temps, Saitama est devenu un héros. Trois années d’un entraînement spécial lui ont donné un pouvoir le rendant invincible. Mais Saitama est devenu si fort qu’un seul coup de poing lui suffit à terrasser chaque adversaire se présentant, aussi puissant soit- il. Aujourd’hui encore, un nouvel ennemi se dresse devant ce héros blasé qui a perdu sa motivation... et ses cheveux ! Parviendra-t-il à retrouver la patate ?","Action,Animation,Comédie",,,31,3,4.3,4.0,Tomohiro Suzuki,En cours,24 min,One Punch Man,
,Depuis 2016, Japon,Izuku Midoriya rêve de rejoindre la filière super-héroïque du grand lycée Yūei et de devenir un jour un des plus grands héros.,"Action,Animation,Comédie",,,167,7,4.3,5.0,,En cours,24 min,My Hero Academia,
"Damson Idris,Damson Idris,Carter Hudson",2017 - 2023, U.S.A.,"Comment le trafic du crack a changé la ville de Los Angeles dans les années 1980... Pauvreté, violence, drogue et prostitution constituent l’ADN de la ville, tandis que la ségrégation raciale bat toujours son plein.",Drame,,,60,6,4.3,5.0,"Eric Amadio,John Singleton,Dave Andron",Terminée,58 min,Snowfall,
"Nicolas Duvauchelle,Marie Dompnier,Tewfik Jallab",Depuis 2023, France,"Les Forces Spéciales françaises sont déployées en Irak, à la veille de la bataille de Mossoul, en octobre 2016. Les membres de ce commando ont pour mission de retrouver et exfiltrer la fille et le petit-fils d’un important Emir français de Daech qu’ils ont capturé et qui ne coopérera avec eux qu’à cette condition.","Action,Drame",,,12,2,3.9,4.3,"Corinne Garfin,Duong Dang-Thai",En cours,50 min,Cœurs Noirs,
"Justin Theroux,Amy Brenneman,Christopher Eccleston",2014 - 2017, U.S.A.,"Du jour au lendemain, un 14 octobre en apparence ordinaire, 2% de la population disparaît mystérieusement de la surface de la terre. Ces gens, de tout âge, se sont évanouis dans la nature, sans explication, laissant leurs proches dans l'angoisse, voire le désespoir.",Drame,,,28,3,3.3,4.3,,Terminée,60 min,The Leftovers,
"Amy Poehler,Nick Offerman,Aziz Ansari",2009 - 2015, U.S.A.,Le quotidien des employés du département des parcs et loisirs de Pawnee.,Comédie,,,125,7,4.3,4.0,"Michael Schur,Greg Daniels",Terminée,22 min,Parks and Recreation,
"Cosmo Jarvis,Anna Sawai,Tadanobu Asano",Depuis 2024, U.S.A.,"En 1600 au Japon, à l’aube d’une guerre civile qui marquera le siècle, John Blackthorne, le commandant anglais d’un mystérieux navire abandonné sur la plage d’un village de pêcheurs voisin, est porteur de secrets qui pourraient faire pencher la balance en faveur du seigneur Yoshii Toranaga, engagé dans une lutte à mort contre ses ennemis du Conseil des régents. Ils réduiraient du même coup l’influence des ennemis de Blackthorne, les prêtres jésuites et commerçants portugais. Les destins de Toranaga et Blackthorne seront inextricablement liés à leur traductrice, Toda Mariko, une mystérieuse chrétienne de noble extraction, dernière d’une lignée tombée en disgrâce. Tout en servant son seigneur dans ce paysage politique tendu, Mariko devra concilier sa relation avec Blackthorne, son engagement envers la foi qui l’a sauvée et le devoir d’une fille envers son défunt père.","Aventure,Drame,Historique,Arts Martiaux",,,10,3,3.9,4.3,"Justin Marks,Rachel Kondo",En cours,60 min,Shōgun,
"Natsuki Hanae,Risa Taneda,Ryōta Ōsaka",2014 - 2015, Japon,"Arima Kosei est un véritable prodige du piano : enfant, il dominait tous ses rivaux en compétition et s'était déjà fait un nom dans le domaine musical. Mais, après la mort de sa mère, il sombre dans une forte dépression qui l'amène à être dégoûté de son propre instrument. Deux ans après le drame, continuant de considérer sa vie comme insipide, Arima se contente de vivre sa vie sans réel but… jusqu'à ce qu'il rencontre Miyazono Kaori, une jeune violoniste extravertie qui, elle aussi, semble exceller dans son art…","Animation,Drame,Musical,Romance",,,22,1,4.3,5.0,,Terminée,24 min,Your Lie in April,
"Clive Owen,Andre Holland,Jeremy Bobb",2014 - 2015, U.S.A.,"Le staff de l'hôpital Knickerbocker de New York, des chirurgiens aux infirmières, doit repousser les limites de la médecine au début du 20ème siècle, à une époque où le taux de mortalité a soudainement augmenté et où les antibiotiques n'existent pas encore...","Drame,Historique,Médical",,,20,2,3.6,4.3,"Jack Amiel,Michael Begler",Annulée,52 min,The Knick,
"Louis Hofmann,Lisa Vicari,Moritz Jahn",2017 - 2020, Allemagne,Un enfant disparu lance quatre familles dans une quête éperdue pour trouver des réponses. La chasse au coupable fait émerger les péchés et les secrets d'une petite ville.,"Drame,Science Fiction,Thriller",,,26,3,3.9,4.3,"Baran bo Odar,Jantje Friese",Terminée,60 min,Dark,
"Salvatore Esposito,Salvatore Esposito,Ivana Lotito",2014 - 2021, Italie,"En Italie, la famille Savastano, dirigée par l'impitoyable Don Pietro, domine la mafia napolitaine. En concurrence avec un autre clan de la Camorra et confronté à une nouvelle génération décidée à prendre de l'importance sans respecter les codes, Don Pietro doit penser à préparer sa succession. Mais Genny, son fils, est loin d'avoir la maturité pour le succéder. Ciro, bras droit loyal de Don Pietro, homme de main efficace et mentor de Genny, devra user de malice, de courage et d'influence pour défendre les intérêts de son chef. ","Policier,Drame,Thriller",,,58,5,4.3,5.0,"Stefano Sollima,Claudio Cupellini",Terminée,52 min,Gomorra,
"Lisa Teige,Lisa Teige,Josefine Frida Pettersen",Depuis 2015, Norvège,Les petits et grands conflits qui ponctuent le quotidien d'une bande de lycéennes d'Oslo.,Drame,,,33,4,4.3,5.0,Julie Andem,En cours,30 min,Skam,
"Rami Malek,Christian Slater,Portia Doubleday",2015 - 2019, U.S.A.,Elliot est un jeune programmeur anti-social qui souffre d'un trouble du comportement qui le pousse à croire qu'il ne peut rencontrer des gens qu'en les hackant. Il travaille pour une firme spécialisée dans la cyber-sécurité mais un homme connu sous le nom de Mr Robot l'approche un jour pour faire tomber une compagnie surpuissante qui fait partie de celles qu'il doit justement protéger...,"Drame,Thriller",,,45,4,4.3,4.3,Sam Esmail,Terminée,45 min,Mr. Robot,
"Andrew Scott,Dakota Fanning,Johnny Flynn",Depuis 2024, U.S.A.,"Tom Ripley, un escroc new-yorkais qui tire le diable par la queue au début des années 60, est engagé par un homme richissime qui l'envoie en Italie pour tenter de convaincre son fils bohème de rentrer à la maison. En acceptant cette mission, Tom met le doigt dans un engrenage complexe qui va le mener au mensonge, à la fraude et au meurtre. ","Drame,Thriller",,,8,1,3.8,4.3,Steven Zaillian,En cours,60 min,Ripley,
"Jon Bernthal,Ben Barnes,Amber Rose Revah",2017 - 2019, U.S.A.,"Après s’être vengé de ceux responsables de la mort de sa femme et de ses enfants, Frank Castle décèle un complot qui va bien plus loin que le milieu des criminels newyorkais. Désormais connu à travers toute la ville comme The Punisher, il doit découvrir la vérité sur les injustices qui l’entourent et touchent bien plus que sa seule famille.","Action,Policier,Drame",,,26,2,3.9,4.3,Steve Lightfoot,Annulée,53 min,Marvel's The Punisher,
"Evan Rachel Wood,Evan Rachel Wood,Thandiwe Newton",2016 - 2022, U.S.A.,"À Westworld, un parc d'attractions dernier cri, les visiteurs paient des fortunes pour revivre le frisson de la conquête de l'Ouest. Dolores, Teddy et bien d'autres sont des androïdes à apparence humaine créés pour donner l'illusion et offrir du dépaysement aux clients. Pour ces derniers, Westworld est l'occasion de laisser libre cours à leurs fantasmes. Cet univers bien huilé est mis en péril lorsqu'à la suite d'une mise à jour, quelques robots commencent à adopter des comportements imprévisibles, voire erratiques. En coulisses, l'équipe, qui tire les ficelles de ce monde alternatif, s'inquiète de ces incidents de plus en plus nombreux. Les enjeux du programme Westworld étant énormes, la Direction ne peut se permettre une mauvaise publicité qui ferait fuir ses clients. Que se passe-t-il réellement avec les androïdes réencodés ? ","Drame,Science Fiction,Thriller,Western",,,36,4,3.8,4.3,"Jonathan Nolan,Lisa Joy",Annulée,52 min,Westworld,
"Sofia Helin,Sofia Helin,Thure Lindhardt",2011 - 2018," Danemark, Suède","A la frontière entre la Suède et le Danemark, au beau milieu d'un pont, est retrouvé le corps d'une femme, vraisemblablement assassinée. Les polices suédoises et danoises sont alors dépêchées sur les lieux. Mais l'affaire prend une tournure particulièrement glauque et étonnante lorsque les enquêteurs découvrent qu'il ne s'agit pas d'un seul mais de deux cadavres, coupés en deux à la taille, qui ont été assemblés pour n'en faire qu'un...","Policier,Drame,Thriller",,,38,4,4.3,5.0,"Björn Stein,Hans Rosenfeldt",Terminée,60 min,Bron / Broen / The Bridge (2011),
"Wataru Ichinose,Shôta Sometani,Pierre Taki",Depuis 2023, Japon,Un enfant devient lutteur de sumo bouleversant une industrie ancrée dans la tradition.,"Drame,Évènement Sportif",,,8,1,4.3,4.0,Tomoki Kanazawa,En cours,50 min,Sanctuary,
"Michael Keaton,Peter Sarsgaard,Michael Stuhlbarg",2021, U.S.A.,"Au coeur d'une petite ville de l'état de la Virginie, le portait de familles touchées par la crise des opiacés aux Etats-Unis. Les proches des toxicomanes se lancent dans une guerre auprès des lobbies pharmaceutiques. Les policiers et médecins luttent également au quotidien contre le fléau...",Drame,,,8,1,3.2,4.3,Danny Strong,Terminée,60 min,Dopesick,
"Helena Coppejans,Yui Ishikawa,Takehito Koyasu",2018, Japon,"Après la guerre, Violet Evergarden doit trouver du travail. Meurtrie et hébétée, elle devient rédactrice de lettres pour dénouer son passé et comprendre qui elle est.","Animation,Drame,Romance,Science Fiction,Guerre",,,14,1,4.0,4.3,Kana Akatsuki,Terminée,24 min,Violet Evergarden,
"Tatiana Maslany,Jordan Gavaris,Kevin Hanchard",2013 - 2017," U.S.A., Canada","Marginale et orpheline, Sarah est témoin du suicide d'une femme. Après réflexion, elle décide de prendre l'identité de cette dernière, qui lui ressemble étonnamment. Elle découvre qu'elles sont en fait deux clones, que d'autres existent et sont la cible d'un tueur qui tente de les éliminer une à une.","Science Fiction,Thriller",,,50,5,3.8,4.3,"Graeme Manson,John Fawcett",Terminée,42 min,Orphan Black,
"Thomas Middleditch,Josh Brener,Martin Starr",2014 - 2019, U.S.A.,"Dans la Silicon Valley d'aujourd'hui, les personnes les plus qualifiées pour réussir ne sont pas forcément celles les plus qualifiées pour savoir comment le gérer...",Comédie,,,53,6,4.4,4.3,"Mike Judge,John Altschuler,Dave Krinsky",Terminée,26 min,Silicon Valley,
"Ella Purnell,Aaron Moten,Walton Goggins",Depuis 2024, U.S.A.,"Une terrible catastrophe nucléaire contraint les survivants ""privilégiés"" à se réfugier dans des Vaults, des bunkers anti-atomiques construits pour préserver l'humanité en cas d'apocalypse. 200 ans plus tard, une jeune femme quitte l'Abri 33 et s'aventure à la surface, à la recherche de son père, dans un monde dévasté et violent. ","Action,Aventure,Science Fiction",,,9,2,3.7,4.3,"Lisa Joy,Jonathan Nolan",En cours,55 min,Fallout,
"James Badge Dale,Joseph Mazzello,Jon Seda",2010, U.S.A.,"Suite à l'attaque de Pearl Harbor, le 7 décembre 1941, de jeunes américains pleins d'espoirs s'engagent dans l'armée pour défendre leur pays face à l'invasion japonaise. Ces soldats sont envoyés dans les îles du Pacifique où l'ennemi gagne du terrain. Ils n'ont aucune idée de l'enfer qui les attend. Les désillusions se mêlent vite à la peur, et la mort devient leur lot quotidien. Ce qu'ils vont vivre les changera à jamais. Suivez le parcours de trois marines américains - Robert Leckie, John Basilone et Eugene Sledge - au lendemain de l'attaque de Pearl Harbor jusqu'au retour à la maison des soldats après la capitulation japonaise.","Historique,Guerre",,,10,1,4.3,5.0,,Terminée,52 min,Band of Brothers : L’Enfer du Pacifique,
"Shinnosuke Mitsushima,Minami Takayama,Aoi Yūki",2016, Japon,"Mai 2006. Satoru Fujinuma, 29 ans, est employé comme livreur dans une pizzeria. C'est un jeune homme peu sociable et qui peine à s'impliquer émotionnellement. Pourtant, Satoru possède un don exceptionnel : lorsqu'une catastrophe est sur le point de se produire, il est projeté quelques minutes dans le passé afin de sauver le plus de vies possible. Un jour, grâce à son don, Satoru sauve un enfant d'un accident de voiture, mais est lui-même accidenté et est envoyé à l'hôpital. A son réveil, il réalise qu'il a rêvé de Kayo Hinazuki, une petite fille qui vivait près de chez lui et qui aurait été assassinée quand il était enfant.","Animation,Drame,Fantastique,Thriller",,,12,1,4.3,5.0,,Terminée,23 min,Erased,
"Jennifer Ehle,Colin Firth,Crispin Bonham-Carter",1995 - 1970, Grande-Bretagne,"Grand émoi chez les Bennet ! Le domaine voisin vient d’être loué par Mr Bingley, un jeune homme riche et célibataire. Et la peu discrète Mme Bennet espère bien que l’une de ses cinq filles à marier (pourquoi pas Jane, l’aînée, la plus jolie ?) aura l’heur de lui plaire.","Historique,Romance",,,6,1,4.4,5.0,,Terminée,60 min,Orgueil et préjugés (1995),
"Justice Smith,Shameik Moore,Herizen F. Guardiola",2016 - 2017, U.S.A.,"Dans les décombres du South Bronx, une bande hétéroclite d'adolescents perdus et sans avenir qui ne peuvent compter que sur eux-mêmes et n’ont pour seules armes face à la vie que leurs joutes verbales, leurs pas de danse improvisés, et quelques gros feutres et bombes de peinture. Des cités du Bronx aux galeries d’art de SoHo, du CBGBs au Studio 54 en passant par les tours de verre d’un World Trade Center à peine achevé, cette nouvelle jeunesse en perdition va se frayer un chemin dans ce New York au bord de la faillite, donnant naissance au hip-hop, au punk et au disco...","Drame,Musical",,,11,1,3.1,4.3,Baz Luhrmann,Annulée,60 min,The Get Down,
,Depuis 2019, U.S.A.,"Un yaourt susceptible, des soldats lycanthropes, des robots déchaînés, des monstres-poubelles, des chasseurs de primes cyborgs, des araignées extraterrestres et des démons de l'enfer assoiffés de sang : tout ce beau monde est réuni dans 18 courts d'animation déconseillés aux âmes sensibles.","Animation,Fantastique,Science Fiction",,,35,4,4.4,4.0,Tim Miller,En cours,15 min,"Love, Death + Robots",
"Sidse Babett Knudsen,Birgitte Hjort Sørensen,Pilou Asbæk",2010 - 2013, Danemark,"Borgen décrit les batailles politiques pour le pouvoir au Danemark et les sacrifices personnels qu’elles entraînent. Le personnage principal, Birgitte Nyborg, est une femme politique qui a permis à son parti d’obtenir une victoire écrasante. Elle doit maintenant répondre aux deux plus importantes questions de sa vie : comment utiliser au mieux cette majorité et jusqu’où peut-on aller pour obtenir le pouvoir...",Drame,,,30,3,4.4,5.0,Adam Price,Terminée,52 min,"Borgen, une femme au pouvoir",
"Jack O'Connell,Michelle Dockery,Scoot McNairy",2017, U.S.A.,"Frank Griffin, un hors-la-loi semant la terreur dans l'Ouest américain des années 1880, traque Roy Goode, son ex-partenaire, devenu un ennemi. Durant sa quête, il se retrouve à La Belle, Nouveau Mexique - une ville entièrement bâtie et régie par des femmes.",Western,,,7,1,4.4,4.5,,Terminée,60 min,Godless,
"Karl Urban,Karl Urban,Jack Quaid",Depuis 2019, U.S.A.,"Dans un monde fictif où les super-héros se sont laissés corrompre par la célébrité et la gloire et ont peu à peu révélé la part sombre de leur personnalité, une équipe de justiciers qui se fait appeler ""The Boys"" décide de passer à l'action et d'abattre ces super-héros autrefois appréciés de tous.","Action,Drame,Science Fiction",,,40,5,3.6,4.4,Eric Kripke,En cours,60 min,The Boys,
"Hugh Bonneville,Michelle Dockery,Maggie Smith",2010 - 2015, Grande-Bretagne,"Les héritiers de Downton Abbey ayant péri lors du naufrage du Titanic, la famille Crawley se retrouve dans une position délicate, les trois descendantes ne pouvant prétendre au titre de Lord Grantham. Or, le titre, le domaine et la fortune de la famille sont indissociables. Matthew Crawley, nouveau successeur et lointain cousin, arrive à Downton Abbey. Il y découvre un style de vie nouveau, avec des règles très strictes qui régissent la vie entre aristocrates et serviteurs.","Drame,Historique",,,52,6,4.4,5.0,Julian Fellowes,Terminée,58 min,Downton Abbey,
"Andy Samberg,Andy Samberg,Andre Braugher",2013 - 2021, U.S.A.,"La vie au sein du commissariat de police de Brooklyn n'est pas de tout repos : une pléiade d'inspecteurs un poil loufoques doivent jongler entre leur mission de protéger et servir les habitants de la ville, leur vie personnelle et surtout celle du bureau.","Comédie,Policier",,,153,8,4.4,4.5,"Dan Goor,Michael Schur",Terminée,22 min,Brooklyn Nine-Nine,
"Natsuki Hanae,Akari Kito,Hiro Shimono",Depuis 2019, Japon,"Depuis les temps anciens, il existe des rumeurs concernant des démons mangeurs d'hommes qui se cachent dans les bois. Pour cette raison, les citadins locaux ne s'y aventurent jamais la nuit. La légende raconte aussi qu'un tueur déambule la nuit, chassant ces démons assoiffés de sang. Depuis la mort de son père, Tanjiro a pris sur lui pour subvenir aux besoins de sa famille. Malgré cette tragédie, ils réussissent à trouver un peu de bonheur au quotidien. Cependant, ce peu de bonheur se retrouve détruit le jour où Tanjiro découvre que sa famille s'est fait massacrer et que la seule survivante, sa sœur Nezuko, est devenue un démon. À sa grande surprise, Nezuko montre encore des signes d'émotion et de pensées humaines. Ainsi, commence la dure tâche de Tanjiro, celle de combattre les démons et de faire redevenir sa sœur humaine.","Action,Animation,Fantastique",,,63,4,4.4,5.0,Koyoharu Gotouge,En cours,24 min,Demon Slayer,
"Michiel Huisman,Carla Gugino,Elizabeth Reaser",2018, U.S.A.,"Plusieurs frères et sœurs qui, enfants, ont grandi dans la demeure qui allait devenir la maison hantée la plus célèbre des États-Unis sont contraints de se retrouver pour faire face à cette tragédie ensemble. La famille doit enfin affronter les fantômes de son passé, dont certains sont encore bien présents dans leurs esprits alors que d’autres continuent de traquer Hill House.","Drame,Epouvante-horreur",,,10,1,4.1,4.4,Mike Flanagan,Terminée,60 min,The Haunting of Hill House,
"Steven Strait,Steven Strait,Cas Anvar",2015 - 2022, U.S.A.,"Au 23ème siècle, les hommes ont colonisé le système solaire et les Nations-Unies contrôlent la Terre. Mars est devenue une puissance militaire indépendante et les autres planètes dépendent des ressources de la ceinture d'astéroïdes, où les conditions de vie sont pénibles et les habitants contraints de travailler durement. Au fil des ans, les tensions entre la Terre, Mars et la Ceinture ont pris une telle ampleur qu'une simple étincelle pourrait déclencher une guerre.","Drame,Science Fiction,Thriller",,,62,6,4.4,5.0,"Mark Fergus,Hawk Ostby",Terminée,42 min,The Expanse,
"Milo Ventimiglia,Milo Ventimiglia,Mandy Moore",2016 - 2022, U.S.A.,"Selon Wikipédia, en moyenne 18 millions d'êtres humains partagent le même jour d'anniversaire à travers le monde. Mais il existe une famille, dispatchée entre New York et Los Angeles, dont quatre des membres sont nés le même jour ! Voici leur histoire drôle et émouvante...",Drame,,,106,6,3.7,4.4,Dan Fogelman,Terminée,42 min,This is Us,
"Keri Russell,Matthew Rhys,Noah Emmerich",2013 - 2018, U.S.A.,"Phillip et Elizabeth Jennings, deux espions du KGB dont le mariage a été arrangé, s'installent avec leurs deux enfants dans la banlieue de Washington au début des années 80, juste après l'élection de Ronald Reagan à la Présidence. Se sentant une certaine affinité pour le mode de vie américain, le couple voit ses convictions mises à rude épreuve. Assumer une double identité va devenir de plus en plus difficile pour eux, d'autant qu'en cette période de Guerre Froide, le moindre faux pas peut leur coûter la vie...","Drame,Espionnage,Thriller",,,75,6,4.1,4.4,"Joe Weisberg,Joel Fields",Terminée,42 min,The Americans (2013),
"David Tennant,Olivia Colman,Jodie Whittaker",2013 - 2017, Grande-Bretagne,"Une petite communauté se retrouve sous les projecteurs des médias après la mort d'un petit garçon. Deux enquêteurs sont chargés de résoudre cette affaire délicate, tout en essayant de garder la presse à distance et de préserver le tourisme. Face à un tel drame, les habitants commencent à s'épier les uns les autres, faisant remonter à la surface bien des secrets...","Policier,Drame",,,24,3,4.4,4.0,Chris Chibnall,Terminée,52 min,Broadchurch,
"Amybeth McNulty,Geraldine James,Dalila Bela",2017 - 2019, Canada,"En 1890, une adolescente, maltraitée en orphelinat et par des familles d'accueil, atterrit par erreur dans le foyer d'une vieille dame sans enfant et de son frère. Avec le temps, Anne, 13 ans, va illuminer leur vie grâce à son esprit fantasque, sa vive intelligence et son imagination débordante.",Drame,,,27,3,4.4,5.0,Moira Walley-Beckett,Annulée,60 min,"Anne with an ""E""",
"Wendell Pierce,Clarke Peters,Khandi Alexander",2010 - 2013, U.S.A.,"Des musiciens, membres du même groupe, tentent de reconstruire leurs vies dans la Nouvelle-Orléans post Ouragan Katrina. Le doué tromboniste de jazz, Antoine Batiste, est coincé dans une vie avec sa partenaire et leur bébé, alors qu'il court secrètement après son ancienne épouse, Ladonna. Celle-ci est cependant occupée à essayer de maintenir son bar à flot. De son côté, Albert Lambreaux, un grand chef de la White Feather Nation, essaie de ramener les membres de la tribu à la maison.",Drame,,,36,4,4.4,4.4,David Simon (II),Terminée,60 min,Treme,
"Alix Poisson,Julien Frison,Jonathan Turnbull",2023, France,"Fin des années 80, dans le Nord de la France, des femmes sont violées tôt le matin, toujours de la même manière, sur la même route, le long de la rivière Sambre. Les policiers ne prennent pas la mesure de ces agressions et ne font pas le lien entre elles. La justice est débordée devant les dossiers qui s’accumulent. Il faudra trente ans pour arrêter un homme qui n’a jamais cessé d’agresser les femmes et qui est responsable d’au moins 54 viols ou agressions sexuelles.","Policier,Thriller",,,6,1,4.4,4.4,"Alice Géraud,Marc Herpoux,Jean-Xavier de Lestrade",Terminée,52 min,Sambre,
"Martial Le Minoux,Martial Le Minoux,Barbara Beretta",Depuis 2016, France,"Richard Aldana, un jeune boxeur, se retrouve avec la gamine de son meilleur ami sur les bras. Mais la petite Siri est traquée par une secte de fanatiques qui croient à l’existence de la Vallée des Rois, un monde de légendes dont elle serait la clef.","Action,Animation",,,32,2,4.4,4.5,"Jérémie Périn,Laurent Sarfati",En cours,13 min,Lastman,
"Rachel Brosnahan,Rachel Brosnahan,Alex Borstein",2017 - 2023, U.S.A.,"Dans le New York de 1958, Miriam “Midge” Maisel a tout ce dont elle peut rêver : un mari parfait, 2 enfants et un appartement élégant dans l'Upper West Side. Mais sa petite vie parfaite prend un virage inattendu lorsqu'elle se découvre un talent pour le stand-up.","Comédie,Drame",,,42,5,4.1,4.4,Amy Sherman-Palladino,Terminée,60 min,La Fabuleuse Mme Maisel,
"Fiona O'Shaughnessy,Alexandra Roach,Nathan Stewart-Jarrett",2013 - 2014, Grande-Bretagne,"""Utopia"" est une bande-dessinée légendaire sur laquelle plane le mystère. Mais quand Ian, Becky, Grant et Wilson, un petit groupe de personnes qui n'avaient jusqu'alors aucun lien, se retrouvent chacun en possession d'un exemplaire original du manuscrit, leurs vies basculent soudainement et brutalement. Immédiatement pris pour cible par une impitoyable organisation meurtrière connue sous le nom du Network, les membres du groupe, terrifiés, n'ont plus qu'une seule solution s'ils veulent survivre : courir !","Drame,Thriller",,,12,2,4.4,5.0,,Terminée,60 min,Utopia,
"Jonathan Groff (II),Holt McCallany,Anna Torv",2017 - 2019, U.S.A.,Comment anticiper la folie quand on ignore comment fonctionnent les fous ? Deux agents du FBI imaginent une enquête aux méthodes révolutionnaires et se lancent dans une véritable odyssée pour obtenir des réponses.,"Policier,Drame,Thriller",,,19,2,4.0,4.4,Joe Penhall,Terminée,50 min,MINDHUNTER,
"Jason Sudeikis,Hannah Waddingham,Jeremy Swift",Depuis 2020, U.S.A.,Ted Lasso est de retour ! Le coach de soccer qui n'a aucune expérience en tant que footballeur est embauché par un club de foot anglais pour mener les membres de l'équipe vers la victoire...,"Comédie,Comédie dramatique,Drame,Évènement Sportif",,,35,3,4.4,5.0,"Bill Lawrence,Jason Sudeikis",En cours,35 min,Ted Lasso,
"Jason Ritter,Kristen Schaal,Alex Hirsch",2012 - 1970, U.S.A.,"Les aventures de jumeaux, un frère et une soeur, Dipper et Marbel Pines, dont les plans estivaux sont ruinés lorsque leurs parents décident de les envoyer chez leur grand oncle Stan à Gravity Falls, dans l'Oregon. Celui-ci tient un musée, le plus bizarre qui soit, un attrape-touristes. Rapidement, ils se rendent comptent que quelque chose ne tourne pas rond dans cette ville, mais quoi ?","Aventure,Animation,Comédie",,,41,2,4.4,4.5,Alex Hirsch,Terminée,22 min,Souvenirs de Gravity Falls,
"Olly Alexander,Omari Douglas,Callum Scott Howells",2021, Grande-Bretagne,"Ritchie, Roscoe et Colin débarquent à Londres en 1981. Les jeunes hommes vont commencer leur vie d'adulte avec un virus nouveau qui se propage dans la communauté gay. C’est l’histoire de leurs amis, de leurs amants et de leurs familles.","Comédie,Drame",,,5,1,4.1,4.4,Russell T Davies,Terminée,60 min,It's a Sin,
"Antony Starr,Ivana Milicevic,Rus Blackwell",2013 - 2016, U.S.A.,"Banshee, une petite ville des Etats-Unis en territoire Amish, en Pennsylvannie, est quelque peu perturbée par un nouvel arrivant énigmatique, expert en arts martiaux, qui se fait passer pour le remplaçant du shérif récemment assassiné. Il a bien l'intention de faire régner la loi, mais à sa manière, concoctant des plans qui ne servent que son intérêt...",Drame,,,38,4,4.4,5.0,"Jonathan Tropper,David Schickler",Terminée,52 min,Banshee,
,Depuis 2011, Grande-Bretagne,Chaque épisode de cette anthologie montre la dépendance des hommes vis-à-vis de tout ce qui a un écran...,"Drame,Science Fiction,Thriller",,,34,7,4.4,5.0,Charlie Brooker,En cours,60 min,Black Mirror,
"Ian Mitchell Cardoni,Harry Belden,Spencer Grammer",Depuis 2013, U.S.A.,Un brillant inventeur et son petit fils un peu à l'Ouest partent à l'aventure...,"Aventure,Animation,Comédie,Science Fiction",,,82,8,4.3,4.4,"Dan Harmon,Justin Roiland",En cours,22 min,Rick et Morty,
"Nathalie Bienaime,Junko Takeuchi,Adrien Solis",1999 - 2004, Japon,"Gon Freeks est un jeune garçon provenant d'un petit village aimé des animaux. Il rêve de devenir Hunter afin de retrouver son père, le plus grand Hunter de tous, qu'il n'a jamais vu qu'en photo. Mais pour devenir Hunter professionnel, il faut passer plusieurs épreuves et tests très difficiles. Pendant les épreuves, Gon fait la connaissance d'amis tel que Kirua, Kurapica, Leorio mais de très dangereux combattants sont également présent afin de passer le test de Hunter.","Aventure,Animation,Comédie,Drame,Fantastique",,,92,4,4.4,4.5,,Terminée,23 min,Hunter X Hunter,
"Juno Temple,Jon Hamm,Jennifer Jason Leigh",Depuis 2014, U.S.A.," est une série d'anthologie basée sur le film éponyme de 1996, écrit et réalisé par les frères Coen.","Comédie,Policier,Drame,Thriller",,,51,5,3.9,4.4,Noah Hawley,En cours,53 min,Fargo (2014),
"Norman Reedus,Melissa McBride,Lauren Cohan",2010 - 2022, U.S.A.,"Après une apocalypse ayant transformé la quasi-totalité de la population en zombies, un groupe d'hommes et de femmes mené par l'officier Rick Grimes tente de survivre... Ensemble, ils vont devoir tant bien que mal faire face à ce nouveau monde devenu méconnaissable, à travers leur périple dans le Sud profond des États-Unis.","Drame,Epouvante-horreur",,,177,11,4.4,4.4,Frank Darabont,Terminée,44 min,The Walking Dead,
"Pedro Pascal,Damián Alcázar,Francisco Denis",2015 - 2018, U.S.A.,"Loin d’un simple biopic de Pablo Escobar, Narcos retrace la lutte acharnée des États-Unis et de la Colombie contre le cartel de la drogue de Medellín, l’organisation la plus lucrative et impitoyable de l’histoire criminelle moderne. En multipliant les points de vue — policier, politique, judiciaire et personnel — la série dépeint l’essor du trafic de cocaïne et le bras de fer sanglant engagé avec les narcotrafiquants qui contrôlent le marché avec violence et ingéniosité.","Biopic,Policier,Drame,Thriller",,,30,3,4.1,4.4,"Carlo Bernard,Chris Brancato,Doug Miro",Terminée,52 min,Narcos,
