actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"Lucy Lawless,John Hannah,Dustin Clare",2011, U.S.A.,"Bien avant l’arrivée de Spartacus, la cité de Capoue se prépare à inaugurer une nouvelle arène gigantesque. Y faire combattre ses gladiateurs serait un honneur et une source de richesse pour tous les propriétaires de combattants de la région. Le jeune Batiatus fait partie de ceux-là, mais il ne fait que gérer l’affaire familiale en l’absence de son père. Il va pourtant user de tous les stratagèmes pour imposer ses gladiateurs, quitte à sombrer avec sa femme, Lucrétia, dans les excès les plus abjects…",Péplum,,,6,1,4.2,4.5,,Terminée,52 min,Spartacus : Les dieux de l'arène,
"Mackenzie Crook,Toby Jones,Aimee-Ffion Edwards",2014 - 2017, Grande-Bretagne,"Deux amis partagent une même passion : la détection des métaux. Ensemble, ils partent avec leurs appareils à la recherche du trésor qui les rendra riches et célèbres. Mais l'un d'eux, Andy, est davantage intéressé par les nouvelles découvertes lui permettant de progresser en tant qu'archéologue amateur...",Comédie,,,19,3,4.2,5.0,Mackenzie Crook,Terminée,30 min,Detectorists,
"Cho Seung-woo,Doona Bae,Choi Jae-woong",Depuis 2017, Corée du Sud,"Un procureur glacial et une téméraire inspectrice de police s’attaquent à une affaire de meurtre, pièce d’un sinistre puzzle qui décrit la corruption politique rampante.","Policier,Drame,Thriller",,,32,2,4.2,4.0,,En cours,60 min,Stranger,
"Kyan Khojandi,Mikaël Alhawi,Alice David",2011 - 2012, France,"Les chroniques extraordinaires d’un homme ordinaire. Dans la vie, au début on naît, à la fin on meurt, pendant ce temps là, il se passe des trucs. Bref, c'est la vie d'un mec pendant ce temps là.",Comédie,,,84,1,4.2,5.0,Kyan Khojandi,Terminée,2 min,Bref,
"Mireille Enos,Joel Kinnaman,Tyler Ross",2011 - 2014," U.S.A., Canada","Trois histoires distinctes mènent au même meurtre. Les détectives chargés de l'enquête, souvent en désaccord, accumulent les pistes et les suspects. Les répercussions sur leurs vies personnelles et celles des politiciens de Seattle liés à l'affaire sont nombreuses, parfois dramatiques. Alors qu'ils croient tous avoir enterré les erreurs de leur passé et enfoui leurs secrets, tout remonte à la surface...","Policier,Drame,Thriller",,,44,4,4.8,4.2,Veena Sud,Terminée,42 min,The Killing (US),
"Alexa Davalos,Joel de la Fuente,Jason O'Mara",2015 - 2019, U.S.A.,"Les Américains ont perdu la Seconde Guerre mondiale et l’Amérique est désormais partagée entre l’Empire du Japon et l’Allemagne Nazi. En 1962, un groupe de résistants cherche à envoyer de précieux vieux films dans la zone neutre, mais les transporter coûte la vie de beaucoup de monde. Après près de deux décennies de cohabitation entre les deux grandes puissances, les rumeurs persistantes rapportant la santé déclinante du Führer laissent présager l'arrivée d'une période de troubles...","Drame,Science Fiction",,,40,4,4.2,5.0,Frank Spotnitz,Terminée,52 min,The Man In the High Castle,
"Paula Echevarría,Miguel Ángel Silvestre,Aitana Sánchez-Gijón",2014 - 2016, Espagne,"En 1958, les galeries Velvet, maison de couture et grand magasin de Madrid, dominent la mode espagnole. A leur tête, Rafael Márquez souhaite que son fils Alberto, de retour d’Angleterre où il a fait ses études, prenne sa succession. Mais Alberto voit les choses bien différemment de son père, qu’il s’agisse de style ou de sa façon de mener sa vie sentimentale. A l’aube des années 1960, le bouillonnant jeune homme souhaite moderniser les créations maison en s’inspirant de nouveaux couturiers comme Dior ou Balenciaga. Il désire également vivre son histoire d’amour avec Ana, une simple couturière et même si cette relation n’est pas au goût de sa famille…","Drame,Romance",,,54,4,4.2,4.5,,Terminée,70 min,Velvet,
"Viola Davis,Billy Brown (II),Jack Falahee",2014 - 2020, U.S.A.,"Annalise Keating possède toutes les qualités requises chez un professeur de droit pénal. Brillante, passionnée, créative et charismatique, elle symbolise également tout ce à quoi on ne s'attend pas : sexy, imprévisible et dangereuse. Que ce soit lors d’un procès ou dans une salle de classe, Annalise est impitoyable. Avocate de la défense, elle représente les criminels, des plus violents jusqu'à ceux suspectés de simple fraude. Son objectif est de faire presque tout ce qui lui est possible pour gagner leur liberté. De plus, chaque année, Annalise sélectionne un groupe d’élèves, qui se révèlent être les plus intelligents et les plus prometteurs, à venir travailler dans son cabinet. Car apprendre auprès d’Annalise est l'occasion d'une vie, celle qui peut tout changer pour ces étudiants, et cela pour toujours. C’est exactement ce qui se produit lorsqu’ils se retrouvent impliqués dans un assassinat qui fera vibrer toute l'université...","Drame,Judiciaire,Thriller",,,90,6,3.6,4.2,Peter Nowalk,Terminée,42 min,Murder,
"Ioan Gruffudd,Alana De La Garza,Judd Hirsch",2014 - 2015, U.S.A.,"Le Dr Henry Morgan, un médecin légiste discret mais brillant, étudie la mort pour une raison bien précise : il est immortel. Depuis deux siècles, il parcourt le monde et cherche un remède à sa condition qu'il considère comme une malédiction, aidé par un son meilleur ami, un vieux chauffeur de taxi roublard. Après un accident de métro au cours duquel il a (encore) perdu la vie, il fait la rencontre de la détective Jo Martinez, une veuve au caractère bien trempé avec qui, il ne va pas tarder à faire équipe pour résoudre d'épineuses affaires criminelles...","Policier,Drame,Fantastique",,,22,1,4.2,5.0,Matthew Miller,Annulée,42 min,Forever,
,2011 - 2012, Japon,"Rintarô Okabe est un scientifique un peu paranoïaque, toujours accompagné de Mayuri et Itaru, qui l'aident dans ses expériences farfelues pour son laboratoire. Alors qu'il participait à un séminaire sur le voyage dans le temps, Rintarô rencontre Kurisu, qui tente de le persuader qu'il lui a parlé quinze minutes avant, mais Rintarô n'en a aucun souvenir et ne se rappelle pas avoir vu la jeune fille. Peu de temps après, il retrouve le corps sans vie de Kurisu. Tentant alors de prévenir Itaru par texto, il est plongé dans une ville fantôme.","Animation,Drama",,,25,1,4.2,5.0,,Terminée,25 min,Steins;Gate,
